Sending_Country,Receiving_Country,Date,Value,Unit,Source
Algeria,Senegal,2021,0.18341483,USD millions,BCEAO
Australia,Ethiopia,2020,13.59617511,USD millions,National Bank of Ethiopia
Austria,Kenya,2024,13169.06514583,USD millions,Central Bank of Kenya
Bahamas,Kenya,2024,1453.6326399,USD millions,Central Bank of Kenya
Bahrain,Kenya,2024,5004.76909047,USD millions,Central Bank of Kenya
Belgium,Kenya,2024,22844.65499793,USD millions,Central Bank of Kenya
Benin,Senegal,2021,25.84619034,USD millions,BCEAO
Brazil,Senegal,2021,29.31242222,USD millions,BCEAO
Burkina Faso,Senegal,2021,35.21615009,USD millions,BCEAO
Cameroon,Senegal,2021,43.12621424,USD millions,BCEAO
Canada,Ethiopia,2020,33.89159808,USD millions,National Bank of Ethiopia
Chad,Senegal,2021,8.39008685,USD millions,BCEAO
China,Kenya,2024,5981.68193772,USD millions,Central Bank of Kenya
"Congo, Dem. Rep.",Uganda,2022,21.0,USD millions,Bank of Uganda
"Congo, Rep.",Senegal,2021,61.4075927,USD millions,BCEAO
Côte d'Ivoire,Kenya,2024,4351.23335962,USD millions,Central Bank of Kenya
Denmark,Morocco,2020,28.261131,USD millions,Bank Al-Maghrib
Djibouti,Ethiopia,2020,185.47649889,USD millions,National Bank of Ethiopia
Egypt,Kenya,2024,2710.84991695,USD millions,Central Bank of Kenya
Equatorial Guinea,Senegal,2021,4.98118045,USD millions,BCEAO
France,Kenya,2024,25420.56230057,USD millions,Central Bank of Kenya
Gabon,Senegal,2021,110.18245828,USD millions,BCEAO
Germany,Ethiopia,2020,61.4673327,USD millions,National Bank of Ethiopia
Greece,Senegal,2021,7.55268897,USD millions,BCEAO
Guinea-Bissau,Senegal,2021,20.56715336,USD millions,BCEAO
India,Kenya,2024,20594.86909915,USD millions,Central Bank of Kenya
Iraq,Kenya,2024,18473.9748253,USD millions,Central Bank of Kenya
Israel,Ethiopia,2020,16.12958144,USD millions,National Bank of Ethiopia
Italy,Ethiopia,2020,40.64448902,USD millions,National Bank of Ethiopia
Japan,Kenya,2024,6019.67135922,USD millions,Central Bank of Kenya
Kenya,Uganda,2022,29.3,USD millions,Bank of Uganda
Kuwait,Ethiopia,2020,13.69625133,USD millions,National Bank of Ethiopia
Lebanon,Ethiopia,2020,72.80490292,USD millions,National Bank of Ethiopia
Libya,Senegal,2021,8.016e-05,USD millions,BCEAO
Luxembourg,Senegal,2021,10.45396704,USD millions,BCEAO
Malawi,Kenya,2024,2348.46850745,USD millions,Central Bank of Kenya
Mali,Senegal,2021,59.37884729,USD millions,BCEAO
Mauritania,Senegal,2021,0.05601719,USD millions,BCEAO
Morocco,Senegal,2021,2.32818559,USD millions,BCEAO
Namibia,Kenya,2020,22.27557275,USD millions,Central Bank of Kenya
New Zealand,Kenya,2024,2997.79888418,USD millions,Central Bank of Kenya
Niger,Senegal,2021,13.51854412,USD millions,BCEAO
Nigeria,Kenya,2024,7235.87353858,USD millions,Central Bank of Kenya
Norway,Ethiopia,2020,13.01269086,USD millions,National Bank of Ethiopia
Oman,Kenya,2024,8642.36155932,USD millions,Central Bank of Kenya
Portugal,Senegal,2021,28.85523056,USD millions,BCEAO
Qatar,Kenya,2024,69232.13805879,USD millions,Central Bank of Kenya
Saudi Arabia,Ethiopia,2020,137.49327083,USD millions,National Bank of Ethiopia
Somalia,Uganda,2022,30.0,USD millions,BCEAO
South Africa,Ethiopia,2020,67.93372415,USD millions,National Bank of Ethiopia
South Sudan,Ethiopia,2020,11.33937986,USD millions,National Bank of Ethiopia
Spain,Morocco,2020,705.7301285,USD millions,Bank Al-Maghrib
Sudan,Ethiopia,2020,1.89005089,USD millions,National Bank of Ethiopia
Sweden,Ethiopia,2020,23.15221747,USD millions,National Bank of Ethiopia
Switzerland,Kenya,2024,51518.22234446,USD millions,Central Bank of Kenya
Tanzania,Kenya,2024,75845.29139099,USD millions,Central Bank of Kenya
The Netherlands,Kenya,2024,31220.5453599,USD millions,Central Bank of Kenya
Togo,Senegal,2021,19.59561296,USD millions,BCEAO
Tunisia,Senegal,2021,0.1984769,USD millions,BCEAO
Turkey,Uganda,2022,25.4,USD millions,Bank of Uganda
Uganda,Kenya,2024,64988.79135626,USD millions,Central Bank of Kenya
United Arab Emirates,Ethiopia,2020,282.08303062,USD millions,National Bank of Ethiopia
United Kingdom,Ethiopia,2020,86.22223346,USD millions,National Bank of Ethiopia
United States,Ethiopia,2020,387.04401602,USD millions,National Bank of Ethiopia
Zambia,Kenya,2024,8091.51076962,USD millions,National Bank of Ethiopia
Australia,Kenya,2024,184497.099695719,USD millions,Central Bank of Kenya
Australia,Uganda,2022,22.0,USD millions,Bank of Uganda
