Sending country,Receive country,Date,Value,Unit,Source
Null,Angola,2024,14.11,USD millions,Not found
Null,Benin,2024,235.64,USD millions,Not found
Null,Botswana,2024,60.0,USD millions,Not found
Null,Burkina Faso,2024,590.0,USD millions,Not found
Null,Burundi,2024,49.18,USD millions,Not found
Null,Cabo Verde,2024,336.13,USD millions,Not found
Null,Cameroon,2024,602.76,USD millions,Not found
Null,Comoros,2024,282.44,USD millions,Not found
Null,"Congo, Dem. Rep.",2024,1356.25,USD millions,Not found
Null,"Congo, Rep.",2024,44.0,USD millions,Not found
Null,Côte d'Ivoire,2024,1041.93,USD millions,Not found
Null,Djibouti,2024,56.0,USD millions,Not found
Null,Egypt,2024,22657.24,USD millions,Not found
Null,Eswatini,2024,120.43,USD millions,Not found
Null,Ethiopia,2024,629.99,USD millions,Not found
Null,Gabon,2024,18.46,USD millions,Not found
Null,"Gambia, The",2024,528.77,USD millions,Not found
Null,Ghana,2024,4632.53,USD millions,Not found
Null,Guinea,2024,527.28,USD millions,Not found
Null,Guinea-Bissau,2024,206.11,USD millions,Not found
Null,Kenya,2024,4800.0,USD millions,Not found
Null,Lesotho,2024,499.3,USD millions,Not found
Null,Liberia,2024,800.0,USD millions,Not found
Null,Madagascar,2024,385.29,USD millions,Not found
Null,Malawi,2024,264.34,USD millions,Not found
Null,Mali,2024,1205.01,USD millions,Not found
Null,Mauritania,2024,109.29,USD millions,Not found
Null,Mauritius,2024,351.27,USD millions,Not found
Null,Morocco,2024,12049.09,USD millions,Not found
Null,Mozambique,2024,266.91,USD millions,Not found
Null,Namibia,2024,142.75,USD millions,Not found
Null,Niger,2024,725.24,USD millions,Not found
Null,Nigeria,2024,21292.96,USD millions,Not found
Null,Rwanda,2024,537.46,USD millions,Not found
Null,Senegal,2024,3000.0,USD millions,Not found
Null,Seychelles,2024,11.42,USD millions,Not found
Null,Sierra Leone,2024,321.6,USD millions,Not found
Null,Somalia,2024,1735.0,USD millions,Not found
Null,South Africa,2024,855.37,USD millions,Not found
Null,South Sudan,2024,1138.5,USD millions,Not found
Null,Sudan,2024,1000.0,USD millions,Not found
Null,Tanzania,2024,756.82,USD millions,Not found
Null,Togo,2024,650.39,USD millions,Not found
Null,Tunisia,2024,2800.0,USD millions,Not found
Null,Uganda,2024,1492.19,USD millions,Not found
Null,Zambia,2024,240.0,USD millions,Not found
Null,Zimbabwe,2024,3086.7,USD millions,Not found
