"Release Date","Topic","Reference Period","Release Type"
"2025-02-13","Effective exchange rates","2025-02-10","Nominal daily data"
"2025-02-20","Effective exchange rates","2025-01","Nominal / real monthly data"
"2025-02-20","Effective exchange rates","2025-02-17","Nominal daily data"
"2025-02-27","Effective exchange rates","2025-02-24","Nominal daily data"
"2025-03-06","Effective exchange rates","2025-03-03","Nominal daily data"
"2025-03-13","Effective exchange rates","2025-03-10","Nominal daily data"
"2025-03-20","Effective exchange rates","2025-02","Nominal / real monthly data"
"2025-03-20","Effective exchange rates","2025-03-17","Nominal daily data"
"2025-03-27","Effective exchange rates","2025-03-24","Nominal daily data"
"2025-04-03","Effective exchange rates","2025-03-31","Nominal daily data"
"2025-04-10","Effective exchange rates","2025-04-07","Nominal daily data"
"2025-04-17","Effective exchange rates","2025-03","Nominal / real monthly data"
"2025-04-17","Effective exchange rates","2025-04-14","Nominal daily data"
"2025-04-24","Effective exchange rates","2025-04-21","Nominal daily data"
"2025-04-30","Effective exchange rates","2025-04-28","Nominal daily data"
"2025-05-08","Effective exchange rates","2025-05-05","Nominal daily data"
"2025-05-15","Effective exchange rates","2025-05-12","Nominal daily data"
"2025-05-22","Effective exchange rates","2025-04","Nominal / real monthly data"
"2025-05-22","Effective exchange rates","2025-05-19","Nominal daily data"
"2025-05-28","Effective exchange rates","2025-05-26","Nominal daily data"
"2025-06-05","Effective exchange rates","2025-06-02","Nominal daily data"
"2025-06-12","Effective exchange rates","2025-06-09","Nominal daily data"
"2025-06-19","Effective exchange rates","2025-05","Nominal / real monthly data"
"2025-06-19","Effective exchange rates","2025-06-16","Nominal daily data"
"2025-06-26","Effective exchange rates","2025-06-23","Nominal daily data"
"2025-07-03","Effective exchange rates","2025-06-30","Nominal daily data"
"2025-07-10","Effective exchange rates","2025-07-07","Nominal daily data"
"2025-07-17","Effective exchange rates","2025-07-14","Nominal daily data"
"2025-07-24","Effective exchange rates","2025-06","Nominal / real monthly data"
"2025-07-24","Effective exchange rates","2025-07-21","Nominal daily data"
"2025-07-31","Effective exchange rates","2025-07-28","Nominal daily data"
"2025-08-07","Effective exchange rates","2025-08-04","Nominal daily data"
"2025-08-14","Effective exchange rates","2025-08-11","Nominal daily data"
"2025-08-21","Effective exchange rates","2025-08-18","Nominal daily data"
"2025-08-28","Effective exchange rates","2025-07","Nominal / real monthly data"
"2025-08-28","Effective exchange rates","2025-08-25","Nominal daily data"
"2025-09-04","Effective exchange rates","2025-09-01","Nominal daily data"
"2025-09-11","Effective exchange rates","2025-09-08","Nominal daily data"
"2025-09-18","Effective exchange rates","2025-08","Nominal / real monthly data"
"2025-09-18","Effective exchange rates","2025-09-15","Nominal daily data"
"2025-09-25","Effective exchange rates","2025-09-22","Nominal daily data"
"2025-10-02","Effective exchange rates","2025-09-29","Nominal daily data"
"2025-10-09","Effective exchange rates","2025-10-06","Nominal daily data"
"2025-10-16","Effective exchange rates","2025-10-13","Nominal daily data"
"2025-10-23","Effective exchange rates","2025-09","Nominal / real monthly data"
"2025-10-23","Effective exchange rates","2025-10-20","Nominal daily data"
"2025-10-30","Effective exchange rates","2025-10-27","Nominal daily data"
"2025-11-06","Effective exchange rates","2025-11-03","Nominal daily data"
"2025-11-13","Effective exchange rates","2025-11-10","Nominal daily data"
"2025-11-20","Effective exchange rates","2025-10","Nominal / real monthly data"
"2025-11-20","Effective exchange rates","2025-11-17","Nominal daily data"
"2025-11-27","Effective exchange rates","2025-11-24","Nominal daily data"
"2025-12-04","Effective exchange rates","2025-12-01","Nominal daily data"
"2025-12-11","Effective exchange rates","2025-12-08","Nominal daily data"
"2025-12-18","Effective exchange rates","2025-11","Nominal / real monthly data"
"2025-12-18","Effective exchange rates","2025-12-15","Nominal daily data"
"2025-12-30","Effective exchange rates","2025-12-27","Nominal daily data"
