0,1,2,3,4,5
Indicator:	B	-	Central	Bank	remittance	inflows,,,,,
Sending	country,Receive	cou.. Date,,Value,Unit,Source
Niger,Senegal,2021,13.518544121,USD	millions,BCEAO
Nigeria,Kenya,2024,"7,235.873538576",USD	millions,Central	Bank	of	Kenya
Norway,Ethiopia,2020,13.01269086,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"20,219.725544913",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,28.665825,USD	millions,Bank	Al-Maghrib
,Senegal,2021,0.001034610,USD	millions,BCEAO
Oman,Kenya,2024,"8,642.361559321",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,19.470278,USD	millions,Bank	Al-Maghrib
,Uganda,2022,8.7,USD	millions,Bank	of	Uganda
Portugal,Senegal,2021,28.855230561,USD	millions,BCEAO
Qatar,Kenya,2024,"69,232.138058795",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,137.6072015,USD	millions,Bank	Al-Maghrib
,Uganda,2022,23,USD	millions,Bank	of	Uganda
Saudi	Arabia,Ethiopia,2020,137.49327083,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"404,105.02454433",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,532.442406,USD	millions,Bank	Al-Maghrib
,Uganda,2022,195.7,USD	millions,Bank	of	Uganda
Somalia,Uganda,2022,30,USD	millions,Bank	of	Uganda
South	Africa,Ethiopia,2020,67.93372415,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"24,095.095706679",USD	millions,Central	Bank	of	Kenya
,Senegal,2021,14.579840557,USD	millions,BCEAO
,Uganda,2022,28.7,USD	millions,Bank	of	Uganda
South	Sudan,Ethiopia,2020,11.33937986,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"5,789.706224355",USD	millions,Central	Bank	of	Kenya
,Uganda,2022,113.3,USD	millions,Bank	of	Uganda
Spain,Morocco,2020,705.7301285,USD	millions,Bank	Al-Maghrib
,Senegal,2021,682.891794356,USD	millions,BCEAO
Sudan,Ethiopia,2020,1.89005089,USD	millions,National	Bank	of	Ethiopia
